naics_code,kind_of_business,sales_month,sales
443,Electronics and appliance stores,3/1/04,7662
443,Electronics and appliance stores,4/1/04,7059
443,Electronics and appliance stores,5/1/04,7483
443,Electronics and appliance stores,6/1/04,7749
443,Electronics and appliance stores,7/1/04,7828
443,Electronics and appliance stores,8/1/04,8210
443,Electronics and appliance stores,9/1/04,7723
443,Electronics and appliance stores,10/1/04,7713
443,Electronics and appliance stores,11/1/04,9437
443,Electronics and appliance stores,12/1/04,14114
443141,Household appliance stores,1/1/04,1158
443141,Household appliance stores,2/1/04,1147
443141,Household appliance stores,3/1/04,1277
443141,Household appliance stores,4/1/04,1203
443141,Household appliance stores,5/1/04,1290
443141,Household appliance stores,6/1/04,1341
443141,Household appliance stores,7/1/04,1312
443141,Household appliance stores,8/1/04,1299
443141,Household appliance stores,9/1/04,1250
443141,Household appliance stores,10/1/04,1278
443141,Household appliance stores,11/1/04,1412
443141,Household appliance stores,12/1/04,1641
443142,Electronics stores,1/1/04,6468
443142,Electronics stores,2/1/04,6262
443142,Electronics stores,3/1/04,6385
443142,Electronics stores,4/1/04,5856
443142,Electronics stores,5/1/04,6193
443142,Electronics stores,6/1/04,6408
443142,Electronics stores,7/1/04,6516
443142,Electronics stores,8/1/04,6911
443142,Electronics stores,9/1/04,6473
443142,Electronics stores,10/1/04,6435
443142,Electronics stores,11/1/04,8025
443142,Electronics stores,12/1/04,12473
444,Building mat. and garden equip. and supplies dealers,1/1/04,18081
444,Building mat. and garden equip. and supplies dealers,2/1/04,17862
444,Building mat. and garden equip. and supplies dealers,3/1/04,24942
444,Building mat. and garden equip. and supplies dealers,4/1/04,28261
444,Building mat. and garden equip. and supplies dealers,5/1/04,28431
444,Building mat. and garden equip. and supplies dealers,6/1/04,28623
444,Building mat. and garden equip. and supplies dealers,7/1/04,26162
444,Building mat. and garden equip. and supplies dealers,8/1/04,25578
444,Building mat. and garden equip. and supplies dealers,9/1/04,25136
444,Building mat. and garden equip. and supplies dealers,10/1/04,24833
444,Building mat. and garden equip. and supplies dealers,11/1/04,24035
444,Building mat. and garden equip. and supplies dealers,12/1/04,23330
4441,Building mat. and supplies dealers,1/1/04,16526
4441,Building mat. and supplies dealers,2/1/04,16258
4441,Building mat. and supplies dealers,3/1/04,21879
4441,Building mat. and supplies dealers,4/1/04,23351
4441,Building mat. and supplies dealers,5/1/04,23595
4441,Building mat. and supplies dealers,6/1/04,24738
4441,Building mat. and supplies dealers,7/1/04,23341
4441,Building mat. and supplies dealers,8/1/04,23253
4441,Building mat. and supplies dealers,9/1/04,22852
4441,Building mat. and supplies dealers,10/1/04,22415
4441,Building mat. and supplies dealers,11/1/04,21872
4441,Building mat. and supplies dealers,12/1/04,21120
44412,Paint and wallpaper stores,1/1/04,569
44412,Paint and wallpaper stores,2/1/04,582
44412,Paint and wallpaper stores,3/1/04,757
44412,Paint and wallpaper stores,4/1/04,780
44412,Paint and wallpaper stores,5/1/04,807
44412,Paint and wallpaper stores,6/1/04,865
44412,Paint and wallpaper stores,7/1/04,837
44412,Paint and wallpaper stores,8/1/04,829
44412,Paint and wallpaper stores,9/1/04,758
44412,Paint and wallpaper stores,10/1/04,755
44412,Paint and wallpaper stores,11/1/04,695
44412,Paint and wallpaper stores,12/1/04,646
44413,Hardware stores,1/1/04,1197
44413,Hardware stores,2/1/04,1138
44413,Hardware stores,3/1/04,1421
44413,Hardware stores,4/1/04,1636
44413,Hardware stores,5/1/04,1801
44413,Hardware stores,6/1/04,1736
44413,Hardware stores,7/1/04,1689
44413,Hardware stores,8/1/04,1571
44413,Hardware stores,9/1/04,1535
44413,Hardware stores,10/1/04,1496
44413,Hardware stores,11/1/04,1489
44413,Hardware stores,12/1/04,1591
445,Food and beverage stores,1/1/04,39978
445,Food and beverage stores,2/1/04,37184
445,Food and beverage stores,3/1/04,39604
445,Food and beverage stores,4/1/04,39857
445,Food and beverage stores,5/1/04,41918
445,Food and beverage stores,6/1/04,40447
445,Food and beverage stores,7/1/04,42512
445,Food and beverage stores,8/1/04,40617
445,Food and beverage stores,9/1/04,40270
445,Food and beverage stores,10/1/04,41050
445,Food and beverage stores,11/1/04,41018
445,Food and beverage stores,12/1/04,45925
4451,Grocery stores,1/1/04,36475
4451,Grocery stores,2/1/04,33701
4451,Grocery stores,3/1/04,35892
4451,Grocery stores,4/1/04,35876
4451,Grocery stores,5/1/04,37733
4451,Grocery stores,6/1/04,36362
4451,Grocery stores,7/1/04,38170
4451,Grocery stores,8/1/04,36607
4451,Grocery stores,9/1/04,36360
4451,Grocery stores,10/1/04,37004
4451,Grocery stores,11/1/04,36876
4451,Grocery stores,12/1/04,40080
44511,Supermarkets and other grocery (except convenience) stores,1/1/04,34761
44511,Supermarkets and other grocery (except convenience) stores,2/1/04,32066
44511,Supermarkets and other grocery (except convenience) stores,3/1/04,34081
44511,Supermarkets and other grocery (except convenience) stores,4/1/04,34064
44511,Supermarkets and other grocery (except convenience) stores,5/1/04,35785
44511,Supermarkets and other grocery (except convenience) stores,6/1/04,34405
44511,Supermarkets and other grocery (except convenience) stores,7/1/04,36142
44511,Supermarkets and other grocery (except convenience) stores,8/1/04,34629
44511,Supermarkets and other grocery (except convenience) stores,9/1/04,34442
44511,Supermarkets and other grocery (except convenience) stores,10/1/04,35064
44511,Supermarkets and other grocery (except convenience) stores,11/1/04,35117
44511,Supermarkets and other grocery (except convenience) stores,12/1/04,38249
4453,"Beer, wine, and liquor stores",1/1/04,2293
4453,"Beer, wine, and liquor stores",2/1/04,2219
4453,"Beer, wine, and liquor stores",3/1/04,2398
4453,"Beer, wine, and liquor stores",4/1/04,2553
4453,"Beer, wine, and liquor stores",5/1/04,2685
4453,"Beer, wine, and liquor stores",6/1/04,2643
4453,"Beer, wine, and liquor stores",7/1/04,2867
4453,"Beer, wine, and liquor stores",8/1/04,2622
4453,"Beer, wine, and liquor stores",9/1/04,2618
4453,"Beer, wine, and liquor stores",10/1/04,2727
4453,"Beer, wine, and liquor stores",11/1/04,2763
4453,"Beer, wine, and liquor stores",12/1/04,3801
446,Health and personal care stores,1/1/04,16336
446,Health and personal care stores,2/1/04,15649
446,Health and personal care stores,3/1/04,17170
446,Health and personal care stores,4/1/04,16542
446,Health and personal care stores,5/1/04,16528
446,Health and personal care stores,6/1/04,16388
446,Health and personal care stores,7/1/04,16306
446,Health and personal care stores,8/1/04,16377
446,Health and personal care stores,9/1/04,15986
446,Health and personal care stores,10/1/04,16421
446,Health and personal care stores,11/1/04,16460
446,Health and personal care stores,12/1/04,19127
44611,Pharmacies and drug stores,1/1/04,14065
44611,Pharmacies and drug stores,2/1/04,13341
44611,Pharmacies and drug stores,3/1/04,14506
44611,Pharmacies and drug stores,4/1/04,14034
44611,Pharmacies and drug stores,5/1/04,14025
44611,Pharmacies and drug stores,6/1/04,13877
44611,Pharmacies and drug stores,7/1/04,13747
44611,Pharmacies and drug stores,8/1/04,13783
44611,Pharmacies and drug stores,9/1/04,13632
44611,Pharmacies and drug stores,10/1/04,14055
44611,Pharmacies and drug stores,11/1/04,14017
44611,Pharmacies and drug stores,12/1/04,16149
447,Gasoline stations,1/1/04,22773
447,Gasoline stations,2/1/04,22554
447,Gasoline stations,3/1/04,25602
447,Gasoline stations,4/1/04,26207
447,Gasoline stations,5/1/04,28578
447,Gasoline stations,6/1/04,28403
447,Gasoline stations,7/1/04,29286
447,Gasoline stations,8/1/04,28729
447,Gasoline stations,9/1/04,27351
447,Gasoline stations,10/1/04,29544
447,Gasoline stations,11/1/04,27676
447,Gasoline stations,12/1/04,27303
448,Clothing and clothing access. stores,1/1/04,11790
448,Clothing and clothing access. stores,2/1/04,13344
448,Clothing and clothing access. stores,3/1/04,14760
448,Clothing and clothing access. stores,4/1/04,15058
448,Clothing and clothing access. stores,5/1/04,15379
448,Clothing and clothing access. stores,6/1/04,14237
448,Clothing and clothing access. stores,7/1/04,14667
448,Clothing and clothing access. stores,8/1/04,15588
448,Clothing and clothing access. stores,9/1/04,14224
448,Clothing and clothing access. stores,10/1/04,15570
448,Clothing and clothing access. stores,11/1/04,17230
448,Clothing and clothing access. stores,12/1/04,28406
4481,Clothing stores,1/1/04,8682
4481,Clothing stores,2/1/04,9133
4481,Clothing stores,3/1/04,10893
4481,Clothing stores,4/1/04,10974
4481,Clothing stores,5/1/04,10998
4481,Clothing stores,6/1/04,10396
4481,Clothing stores,7/1/04,10796
4481,Clothing stores,8/1/04,11380
4481,Clothing stores,9/1/04,10579
4481,Clothing stores,10/1/04,11695
4481,Clothing stores,11/1/04,12823
4481,Clothing stores,12/1/04,18940
44811,Men's clothing stores,1/1/04,574
44811,Men's clothing stores,2/1/04,559
44811,Men's clothing stores,3/1/04,637
44811,Men's clothing stores,4/1/04,674
44811,Men's clothing stores,5/1/04,675
44811,Men's clothing stores,6/1/04,657
44811,Men's clothing stores,7/1/04,639
44811,Men's clothing stores,8/1/04,720
44811,Men's clothing stores,9/1/04,634
44811,Men's clothing stores,10/1/04,727
44811,Men's clothing stores,11/1/04,809
44811,Men's clothing stores,12/1/04,1261
44812,Women's clothing stores,1/1/04,2267
44812,Women's clothing stores,2/1/04,2402
44812,Women's clothing stores,3/1/04,2915
44812,Women's clothing stores,4/1/04,3023
44812,Women's clothing stores,5/1/04,3005
44812,Women's clothing stores,6/1/04,2777
44812,Women's clothing stores,7/1/04,2595
